names,latitudes,longitudes,total_user_ratings,ratings,price_levels,haversine_distance (km),distance_from_school (km),walking duration (mins)
The Cheesecake Factory,34.1350171,-118.0489758,1261,4.3,2.0,1.2694993514274566,1.7,22.0
BJ's Restaurant & Brewhouse,34.1397016,-118.0223223,1054,4.3,2.0,1.7211516832350757,2.4,30.0
May's Cafe,34.1298702,-118.0296544,48,4.4,1.0,0.6488176863478061,0.8,10.0
Matt Denny's Ale House Restaurant,34.1402563,-118.0263825,413,4.3,2.0,1.5007688519458509,2.0,26.0
The Original Peppers Mexican Grill & Cantina,34.1415226,-118.0383992,375,4.3,2.0,1.3120378548548028,2.3,29.0
Souplantation,34.140353,-118.023061,1429,4.3,1.0,1.7180302936447545,2.3,30.0
Bento-ya Restaurant,34.1348276,-118.0280407,144,4.2,1.0,0.9733077202448996,1.2,16.0
Olive Garden Italian Restaurant,34.139708,-118.021854,1676,4.2,2.0,1.754959739483456,2.4,31.0
Taco Lita,34.129969,-118.0270954,605,4.5,1.0,0.8845025340005225,1.0,12.0
El Pollo Loco,34.1301612,-118.0315301,264,4.2,1.0,0.47775851544941494,0.6,7.0
In-N-Out Burger,34.145321,-118.031235,2381,4.6,1.0,1.7969870508488652,2.2,28.0
Chengdu Impression,34.1402212,-118.0303996,109,4.6,2.0,1.2952064257593578,1.6,21.0
EMC Seafood & Raw Bar,34.1347554,-118.0521186,148,4.3,,1.5218245832039121,1.9,24.0
Villa Catrina,34.1428777,-118.0319469,498,4.4,2.0,1.5178856591081253,1.9,24.0
Din Tai Fung,34.1351084,-118.0519286,1413,4.5,2.0,1.520315196033022,2.2,28.0
Benihana,34.1349665,-118.0495348,601,4.2,3.0,1.313022056691845,1.7,22.0
Red Robin Gourmet Burgers and Brews,34.1331534,-118.052479,535,4.2,2.0,1.4989736303924008,1.6,21.0
Red Lobster,34.139736,-118.018931,1170,4.2,2.0,1.9734422341734446,2.7,34.0
Jazz Cat Restaurant,34.1274176,-118.0546072,219,4.4,2.0,1.6692735833854861,2.0,25.0
Moffett's Family Restaurant & Chicken Pie Shoppe,34.123019,-118.05613,304,4.5,1.0,1.940977550714567,2.5,32.0
Natural Selection,34.1433182,-118.0317443,88,4.5,,1.570167584094279,1.9,24.0
Sinbala,34.126984,-118.0536043,371,4.3,1.0,1.5870392445104031,2.0,25.0
Wood Ranch BBQ & Grill,34.134962,-118.048787,615,4.4,2.0,1.2512437876769664,1.7,21.0
Sesame Grill,34.139726,-118.023774,169,4.2,2.0,1.622498267542965,2.2,28.0
Claim Jumper Restaurants,34.139958,-118.017624,1360,4.1,2.0,2.0874831630177884,2.8,35.0
Meizhou Dongpo Restaurant 眉州东坡,34.13370889999999,-118.0532114,333,4.1,,1.5801916561344822,1.7,23.0
Din Tai Fung,34.1272699,-118.0542834,540,4.6,2.0,1.6425984693385018,2.1,26.0
Pieology Pizzeria,34.140416,-118.019066,393,4.4,1.0,2.0066484533813607,2.6,34.0
Le Roy's,34.14051990000001,-118.0109136,1002,4.4,1.0,2.6557492198748567,3.4,43.0
Paco's Mexican Restaurant,34.1508086,-118.0251106,557,4.3,2.0,2.567436768725053,3.3,43.0
Rubio's Coastal Grill,34.1393225,-118.0132934,148,4.5,1.0,2.4003691043752573,3.3,41.0
Carl's Jr.,34.1306981,-118.0254745,354,3.7,1.0,1.0382472527548376,1.2,15.0
Luscious Dumplings,34.13185989999999,-118.0181588,136,4.4,1.0,1.722054488048685,1.9,24.0
Cabrera's Mexican Restaurant,34.1094818,-118.0172882,412,4.5,2.0,2.881329596595276,4.2,51.0
HaiDiLao Hotpot,34.1333726,-118.0529968,609,4.4,3.0,1.5512345824115261,1.7,22.0
