names,latitudes,longitudes,total_user_ratings,ratings,price_levels,haversine_distance (km),distance_from_school (km),walking duration (mins)
Boston Lobster Seafood Restaurant,34.0806794,-118.0915095,673,4.4,2.0,0.2596851533232764,0.5,6.0
Babita Mexicuisine,34.0762954,-118.0909343,73,4.5,2.0,0.7493451559393276,0.9,11.0
Shin-Sen-Gumi Restaurant,34.07977890000001,-118.0844929,919,4.6,1.0,0.7824134331099297,1.1,13.0
Petrillo's Pizza,34.0804022,-118.0892022,1105,4.4,2.0,0.3885673425881852,0.6,7.0
Chang'an Restaurant,34.0802308,-118.1027377,195,4.2,2.0,1.0289760034903845,1.6,20.0
Tia Gladys Mexican Restaurant,34.0907346,-118.089787,269,4.3,2.0,0.8886183379497887,1.1,14.0
Jazz Cat Restaurant,34.0801015,-118.0988887,391,4.4,2.0,0.704682395379567,1.2,15.0
Pho Hai Kieu,34.089804,-118.0906133,48,4.2,1.0,0.7716900196868991,0.9,11.0
Quan Ngon Nha Trang Restaurant,34.0802837,-118.0965853,82,4.1,,0.5122984974909299,1.0,12.0
Taco Bell,34.0811442,-118.0903459,418,4.2,1.0,0.25737832538835953,0.3,4.0
Lu's Garden,34.0794882,-118.0930873,334,3.9,1.0,0.39833008728240077,0.7,9.0
Spicy City,34.0783836,-118.1021935,154,4.2,1.0,1.0630456434853504,1.6,20.0
Hunan Chilli King,34.0797983,-118.0934204,186,3.8,,0.37400572194642634,0.7,8.0
Di Pilla's Italian Restaurant,34.0809981,-118.0726839,481,4.6,2.0,1.7983405257595784,2.1,26.0
Yoshino Sushi,34.0804601,-118.0927989,240,4.0,2.0,0.28704387244854623,0.7,8.0
ZAZA Noodle,34.08022,-118.0933335,24,4.0,,0.3272322439529278,0.7,8.0
Restaurant,34.08081810000001,-118.0903697,0,0.0,,0.2856299182517486,0.4,5.0
Opal Chinese Cuisine,34.0803721,-118.0968991,19,4.2,,0.5306338716176805,1.1,14.0
Hibiscus Tree,34.0796371,-118.093471,23,4.3,,0.3924612260210162,0.8,9.0
Sg Xiao May Restaurant,34.0800555,-118.0891581,6,4.3,,0.42028043453028635,0.6,7.0
Ji Rong Peking Duck,34.0802559,-118.0848117,483,4.4,2.0,0.732982708675258,0.9,12.0
Golden Soup,34.0811978,-118.084977,271,4.0,1.0,0.6818558448163755,1.0,13.0
Spicy Charm,34.0804574,-118.0931146,21,3.2,,0.2955272309025971,0.7,8.0
Uncle Yu's Indian Theme Restaurant,34.0946311,-118.0913727,202,4.2,2.0,1.2983352387576674,1.4,18.0
Floral Restaurant,34.0799933,-118.0976037,8,2.9,,0.6079975440320436,1.1,13.0
Carl's Jr.,34.0746663,-118.090267,419,4.0,1.0,0.9379561214282504,1.1,13.0
818 Shaokao,34.0799689,-118.0897321,2,1.5,,0.3968068663083219,0.7,8.0
The Better Food,34.0766834,-118.0909497,7,4.4,,0.7064380024987463,0.8,10.0
Mr.Dong,34.0801436,-118.085197,13,3.8,,0.7062610597100593,0.9,11.0
The Habit Burger Grill,34.0743897,-118.0721419,468,4.6,1.0,2.06809527000561,2.8,35.0
Jue Wei Kitchen,34.080006,-118.0897037,24,3.8,,0.39477985555078465,0.7,8.0
TGI Fridays,34.072975,-118.0712376,985,4.1,2.0,2.2168767267412886,3.0,37.0
Omar Halal Restaurant,34.0776226,-118.1081408,143,4.2,2.0,1.5954239221097828,2.2,28.0
New Century Lobster (港味鮮),34.0796163,-118.0834606,80,4.0,,0.8757661835323571,1.1,14.0
Boiling Point,34.0793186,-118.1031731,517,4.0,2.0,1.1005871499144353,1.6,20.0
Wendy's,34.0795014,-118.1111248,703,4.2,1.0,1.7971752106791983,2.4,30.0
Ching Chang Wing Wang,34.079714,-118.0957554,3,5.0,,0.49648939279431525,0.9,11.0
The Boiling Crab,34.07299940000001,-118.0709164,1050,4.6,2.0,2.2411795552955107,3.0,38.0
In-N-Out Burger,34.0839606,-118.0730105,1648,4.6,1.0,1.7582883815503314,2.1,26.0
Yum Cha Cafe,34.0786202,-118.0917242,10,2.8,,0.4845838939677957,0.7,8.0
Rose City Pizza,34.0747384,-118.0710819,574,4.6,2.0,2.1383004546141122,2.8,35.0
Street Party,34.0814085,-118.0849947,10,4.2,,0.6738851015833531,1.1,13.0
Ye Mei Restaurant,34.079278,-118.092483,43,3.6,1.0,0.41222080224573293,0.7,8.0
Bay Island Cafe,34.0797067,-118.0823591,340,4.2,1.0,0.964698277943377,1.2,15.0
Chanos Drive-In,34.103223,-118.084866,397,4.5,1.0,2.3476867456701918,2.9,37.0
Com Tam Kieu (Cơm Tấm Kiều),34.0801817,-118.0845235,118,4.2,,0.76057621118374,1.0,13.0
JTYH Restaurant,34.0815406,-118.0636507,91,4.4,1.0,2.621664406914406,2.9,37.0
Chipotle Mexican Grill,34.0745892,-118.0722079,231,4.2,1.0,2.052536703732737,2.7,34.0
Popeyes Louisiana Kitchen,34.0803399,-118.0915333,397,4.0,1.0,0.296418700193876,0.5,6.0
Nha Trang Kitchen Restaurant,34.0623865,-118.1120232,102,4.5,1.0,2.935504741924088,4.3,54.0
J & J Restaurant,34.0802363,-118.1041983,17,4.6,,1.157991524818487,1.7,22.0
Golden Deli Restaurant,34.1028567,-118.1117593,585,4.6,1.0,2.859925462355999,3.5,45.0
Pho Nguyen Hoang Restaurant,34.0796474,-118.1053609,112,4.0,1.0,1.2789792195079068,1.8,23.0
Garage Restaurant,34.0785552,-118.1021821,22,3.0,,1.053096813804945,1.6,20.0
Com Tam Kieu Restaurant,34.0943207,-118.0913417,171,4.3,1.0,1.26401034717641,1.4,18.0
Vietnam Restaurant,34.1021881,-118.1040817,99,4.6,1.0,2.4065486767258792,3.1,40.0
101 Noodle Express,34.07886,-118.1095451,667,4.1,1.0,1.6734285723999796,2.2,28.0
Carl's Jr.,34.0812138,-118.0720531,354,4.2,1.0,1.853333722037894,2.2,27.0
海珍大酒樓 888 seafood restaurant,34.0799175,-118.084813,143,4.1,2.0,0.7491495995555454,1.0,13.0
Jessie Xiao Lan Liang Restaurant,34.0801992,-118.102677,0,0.0,,1.024688247406416,1.6,20.0
