names,latitudes,longitudes,total_user_ratings,ratings,price_levels,haversine_distance (km),distance_from_school (km),walking duration (mins)
Pi On Sunset,34.263962,-118.523009,89,4.5,2.0,0.3908271776538207,0.4,5.0
Noah's Ark Cuisine,34.2578841,-118.5239933,110,4.4,1.0,0.36226590608789994,0.4,5.0
Golden Hunan Chinese Restaurant,34.2582607,-118.5354278,245,4.6,2.0,0.9830888309222156,1.7,21.0
Numero Uno Pizza,34.26509,-118.522185,198,4.5,2.0,0.5373342141695895,0.6,8.0
En Joy Bowl,34.2651291,-118.5220392,133,4.5,2.0,0.5481300665802632,0.7,9.0
Panda Express,34.2645621,-118.5247792,143,4.2,1.0,0.4013941328927549,0.5,7.0
Ali Baba Persian Restaurant,34.2651988,-118.5159243,186,4.3,2.0,0.9770987439489255,1.2,15.0
Pieology Pizzeria,34.2655341,-118.5250028,162,4.4,1.0,0.5076661099722609,0.7,9.0
Del Taco,34.2645595,-118.5241695,234,4.1,1.0,0.4108995091071487,0.5,7.0
Presto Pasta,34.2652171,-118.524287,390,4.5,1.0,0.48009004865374855,0.6,8.0
Socorro's Mexican Food,34.25795069999999,-118.5235453,214,4.0,,0.3706523422318405,0.4,5.0
Carl's Jr.,34.2645183,-118.5253744,208,3.8,1.0,0.3943951024323932,0.6,8.0
Wendy's,34.2575837,-118.5370622,504,4.2,1.0,1.149433713423706,1.7,21.0
Frosty Queen,34.2651005,-118.5177638,406,4.3,1.0,0.8267423364974571,1.0,12.0
Jack in the Box,34.2646372,-118.521295,244,4.0,1.0,0.545781319664626,0.6,8.0
Pick Up Stix Fresh Asian Flavors,34.2651518,-118.5261272,142,4.1,1.0,0.4716579725576322,0.7,10.0
Gatten Sushi,34.2655994,-118.5249043,198,4.1,2.0,0.51539322620141,0.7,9.0
JeJe Mediterranean Grill - JeJe Chicken,34.27156009999999,-118.5013643,410,4.5,,2.4904582007471197,3.2,40.0
Shik Do Rak Northridge,34.2570216,-118.5350797,297,4.2,2.0,1.0048503240946085,1.6,19.0
Gen Korean BBQ House,34.255146,-118.5373725,1027,4.3,2.0,1.2890947318573458,1.9,23.0
Presidente,34.2574815,-118.535434,343,3.9,2.0,1.0135618614330812,1.6,19.0
Joe's Cafe,34.265162,-118.5224048,879,4.3,2.0,0.5340077346493985,0.6,9.0
Hong Kong Banjum By Paik's Noodle,34.2638184,-118.5230098,52,4.6,,0.3773017775859639,0.4,5.0
Big Mama's & Papa's Pizzeria,34.2642337,-118.5230697,127,4.6,2.0,0.4140990349791358,0.4,5.0
Main Kitchen Cafe,34.2649395,-118.5027643,247,4.5,2.0,2.1126343136888956,2.3,29.0
Rincome Restaurant,34.2571477,-118.5040867,372,4.5,2.0,1.9906208731389323,2.2,27.0
"Amaseena Restaurant & Lounge, Inc.",34.264703,-118.5203586,28,4.6,,0.6113894031312729,0.7,9.0
Kickin KAsian,34.243732,-118.536315,860,4.5,2.0,2.1703091766094365,3.1,37.0
Salata,34.2645621,-118.5247792,233,4.6,,0.4013941328927549,0.5,7.0
Subway,34.25772,-118.523884,99,4.0,1.0,0.38277794696354284,0.4,5.0
Kusina Ni Kuya,34.258322,-118.535986,44,4.1,1.0,1.0300633007075697,1.7,21.0
IHOP,34.2578441,-118.5015479,754,4.2,1.0,2.2055731219701142,2.5,30.0
Asahi Sushi,34.259059,-118.502603,764,4.3,2.0,2.0918326857555303,2.3,28.0
Spice Up Thai Eatery,34.2643426,-118.5018657,75,4.6,,2.1810932511341825,2.4,30.0
Furnsaj Restaurant & Bakery,34.273629,-118.5013225,551,4.8,1.0,2.6103084987720186,3.4,43.0
Pizzasaurus Rex,34.250033,-118.519487,128,4.4,1.0,1.32665244686779,1.6,19.0
Flaming Lava Grill,34.2652187,-118.5217246,1,5.0,,0.572392490066481,0.6,8.0
Shogun Sushi,34.255843,-118.53542,323,4.3,2.0,1.0952533416410728,1.7,21.0
PizzaRev,34.2417433,-118.5357374,332,4.4,1.0,2.3456016423574058,3.4,40.0
Ocean Cafe & Restaurant,34.2572669,-118.504612,236,4.1,2.0,1.9406275962415613,2.2,26.0
Lola's Baja Taco's,34.2651603,-118.5032307,316,4.4,2.0,2.0761020413653597,2.3,28.0
Fresh Potato Factory,34.2417913,-118.5355313,156,4.5,,2.332997636114068,3.2,38.0
Falafel Palace,34.238994,-118.536474,345,4.5,1.0,2.65289377200709,3.6,43.0
All American BBQ,34.2583163,-118.5403437,85,3.9,2.0,1.4185657916962378,2.2,26.0
