names,latitudes,longitudes,total_user_ratings,ratings,price_levels,haversine_distance (km),distance_from_school (km),walking duration (mins)
The Wheel of Life,33.7052927,-117.7847052,159,4.3,1.0,0.41376261779939416,0.9,11.0
Burntzilla,33.706109,-117.787051,346,4.6,1.0,0.6375138437871428,1.0,13.0
Chan Chan,33.7063869,-117.7836379,184,4.3,2.0,0.4577147389187351,1.1,13.0
Caspian Restaurant,33.7085358,-117.7824769,795,4.2,2.0,0.6595292871349872,1.4,17.0
L&L Hawaiian Barbecue,33.7057714,-117.7842124,106,4.3,1.0,0.4251241573271345,1.0,12.0
Super Mex,33.7052068,-117.7848054,274,4.2,1.0,0.4137428953684149,0.9,11.0
Kaya Restaurant,33.708129,-117.7818722,129,4.1,,0.6094310874586719,1.3,16.0
Bruxie Original Fried Chicken & Waffle Sandwich,33.7055473,-117.7855463,681,4.4,,0.48997326709000516,0.9,11.0
Oriental Seafood Noodle House,33.7053323,-117.7846844,88,4.2,,0.41555111956939694,0.9,11.0
The Habit Burger Grill,33.7047087,-117.7869136,523,4.5,1.0,0.5461584091852734,0.8,10.0
Annapoorna Indian Cuisine,33.7039663,-117.7857576,499,4.1,2.0,0.4156062071874648,0.7,8.0
Boiling Point,33.7074187,-117.7826251,562,4.2,2.0,0.5389683865278696,1.2,15.0
EMC Seafood & Raw Bar,33.7062196,-117.7856646,677,4.2,3.0,0.5495079821780228,1.1,13.0
Buffalo Wild Wings,33.7086855,-117.7829459,866,4.1,2.0,0.6828941883713702,1.4,17.0
Seoul Haus,33.7050124,-117.7727948,265,4.2,2.0,0.8513155297851155,2.2,28.0
Spicy City,33.705821,-117.784167,118,4.0,2.0,0.42723875830030966,1.0,12.0
Wendy's,33.7058061,-117.7860788,282,3.9,1.0,0.5461266685028335,1.0,12.0
Tebo Pho & Tea,33.708061,-117.781926,96,4.4,1.0,0.6021455309195782,1.3,16.0
Kang Ho Dong Baekjeong,33.708057,-117.7838367,592,4.3,2.0,0.6368379130438045,1.3,16.0
Lamppost Pizza,33.7042191,-117.7858059,189,4.1,2.0,0.4303657374890946,0.8,9.0
A&J Restaurant,33.6881268,-117.7715063,580,4.4,1.0,1.8636317086462113,2.6,33.0
Olive Oil Mediterranean Grill,33.695837,-117.764693,247,4.3,1.0,1.7339913636250146,3.1,39.0
Veggie Grill,33.7227491,-117.7898877,379,4.3,2.0,2.363718388209318,3.9,48.0
Misasa,33.7065499,-117.7832708,14,4.2,,0.4614253997379927,1.1,13.0
Kitakata Ramen Ban Nai - Irvine,33.7050965,-117.7850099,118,4.4,,0.41966963270968893,0.9,11.0
Chinese Sauerkraut Fish,33.7082775,-117.782193,38,3.4,,0.6280351072091607,1.3,16.0
Hopdoddy Burger Bar,33.722347,-117.7936707,773,4.5,2.0,2.4599737563186475,4.2,53.0
Tasty Garden,33.6974235,-117.7989823,328,4.0,2.0,1.7143079034030453,2.4,30.0
Chong Qing Mei Wei Szechuan Restaurant,33.6898771,-117.7692127,139,4.2,,1.8225087270745797,2.7,34.0
Tomikawa Sushi Bar Restaurant,33.6955879,-117.7649956,395,4.1,2.0,1.7213278761961188,3.0,38.0
Taiko Japanese Restaurant,33.6885503,-117.7714851,649,4.4,2.0,1.8239625399423272,2.6,33.0
Wienerschnitzel,33.689251,-117.7712981,213,4.0,1.0,1.7666428873286313,2.5,32.0
Go Squared 2 Takoyaki & Okonomiyaki,33.7066835,-117.7830928,17,3.1,,0.4701415431673067,1.1,13.0
Pokeworks,33.6957218,-117.7992171,228,4.4,2.0,1.807034376294464,2.5,30.0
Koba Tofu Grill,33.705451,-117.7846404,109,4.0,2.0,0.42234195923942525,1.0,12.0
Sam Woo Seafood Restaurant,33.695976,-117.798353,496,4.0,2.0,1.7226963377544193,2.4,29.0
Chick-fil-A,33.7255355,-117.7886821,877,4.6,1.0,2.628340563514681,4.2,53.0
Tang 190,33.6958914,-117.7645306,283,4.2,2.0,1.7448992853817298,3.1,39.0
Pho Ha Noi,33.6964228,-117.7627787,170,4.1,1.0,1.8697305216372613,3.1,40.0
House Of Shabu Shabu,33.6900662,-117.7707037,379,4.4,2.0,1.7223146861859588,2.5,31.0
Thai Cafe,33.6889576,-117.7707781,366,4.2,2.0,1.8201419668916465,2.5,32.0
Doore Restaurant,33.7123314,-117.7615151,148,4.0,2.0,2.1430039338682025,3.5,45.0
Urban Plates,33.6848296,-117.8108511,755,4.5,2.0,3.3581107255223586,4.2,52.0
Pieology Pizzeria,33.7226401,-117.790017,400,4.4,1.0,2.3562126589879906,3.9,48.0
In-N-Out Burger,33.7228605,-117.7936678,1734,4.6,1.0,2.510812107161734,4.5,55.0
Rubio's Coastal Grill,33.7243428,-117.792852,255,4.2,1.0,2.6284065248917377,4.1,51.0
Kaju Soft Tofu Restaurant,33.689418,-117.7694833,85,4.1,2.0,1.8473477485075775,2.6,33.0
Hometown Restaurant,33.690165,-117.7706675,51,4.4,,1.7153610179729195,2.5,31.0
101 Noodle Express,33.6896899,-117.7692814,259,4.1,1.0,1.8348450630927482,2.7,34.0
Taiwan Popcorn Chicken,33.6956637,-117.799204,130,3.9,,1.8087061378131757,2.5,30.0
BJ's Restaurant & Brewhouse,33.7295993,-117.7871316,960,4.2,2.0,3.040239973115244,4.7,1.0
California Pizza Kitchen at Tustin,33.7242942,-117.7923527,391,4.2,2.0,2.6053918255053796,4.2,52.0
Da Luau Hawaiian Grill,33.6957864,-117.7647644,173,4.3,,1.7305294489243659,3.0,39.0
Heritage Plaza,33.7055896,-117.7846415,2059,4.2,,0.4338801490397115,0.9,11.0
Chipotle Mexican Grill,33.7235216,-117.7714564,256,4.1,1.0,2.5010870087147223,3.6,47.0
Urban Plates,33.72636360000001,-117.7885434,403,4.4,2.0,2.714486303712642,4.3,53.0
Shik Do Rak Restaurant,33.6878033,-117.7715243,539,4.2,2.0,1.8940824703825547,2.7,34.0
Jack in the Box,33.7229309,-117.7725128,235,4.0,1.0,2.4045869308408365,3.6,46.0
Beijing Restaurant 同顺居,33.7131726,-117.7616821,138,3.9,2.0,2.178406016398364,3.5,45.0
Tasty Noodle House,33.6960666,-117.7993508,165,4.1,,1.8023041784748488,2.6,31.0
