names,latitudes,longitudes,total_user_ratings,ratings,price_levels,haversine_distance (km),distance_from_school (km),walking duration (mins)
The Root Cellar Cafe & Catering,35.7550693,-79.1654278,327,4.1,,0.7896160274548268,0.8,10.0
Compadres Tequila Lounge,35.7438918,-79.1634444,345,4.4,2.0,1.724107212712185,,
Waffle House,35.7460405,-79.1666797,307,4.0,1.0,1.3691536563820534,,
Pickle Jar Cafe,35.7269732,-79.1751797,206,4.3,,3.326833019119759,,
Elizabeth's Pizza & Italian Restaurant,35.7226016,-79.1767691,379,4.5,1.0,3.819742218026654,,
New Japan,35.7443238,-79.1662313,301,3.9,1.0,1.5573136786576747,,
Bojangles' Famous Chicken 'n Biscuits,35.7549179,-79.1661675,569,4.1,1.0,0.7300951376130521,0.7,9.0
Mi Cancun,35.7551503,-79.164473,224,4.4,,0.8711940259127232,0.9,10.0
McDonald's,35.7444922,-79.1671068,600,3.7,1.0,1.5067614825866888,,
Subway,35.7456693,-79.168301,22,3.8,1.0,1.3441389556899026,,
Small B&B Cafe,35.72053,-79.173548,197,4.8,,4.041370399350447,,
Hwy 55 Burgers Shakes & Fries,35.7201507,-79.15975300000001,317,4.4,1.0,4.278163857035083,,
Angelina's Kitchen,35.7207316,-79.18119159999999,105,4.6,1.0,4.072492884860937,,
Greek Kouzina,35.7188662,-79.1605012,226,4.4,,4.395657039781426,,
Postal Fish Company,35.7214835,-79.17847739999999,245,4.6,2.0,3.956937965004076,,
S & T's Soda Shoppe,35.721491,-79.177508,659,4.7,1.0,3.9479129232837145,,
Papa John's Pizza,35.743595,-79.1649503,65,3.8,1.0,1.682604254174019,,
Michocan Mexican Food Truck,35.719713,-79.1696016,95,4.7,1.0,4.150195604167341,,
Taco Bell,35.74585709999999,-79.1667921,101,3.5,1.0,1.3824006145144692,,
John's Italian Pizza Restaurant,35.7186729,-79.178595,222,4.3,1.0,4.268916598231498,,
San Felipe Mexican Restaurante,35.7182135,-79.16631699999999,277,4.3,1.0,4.352851423448554,,
Allen & Son Bar-B-Que,35.7824719,-79.1291213,506,4.6,1.0,4.941329510835665,,
Pittsboro Roadhouse,35.7202057,-79.1779887,488,4.2,2.0,4.0940508390959,,
Carolina Brewery & Grill,35.743852,-79.1654564,300,4.1,2.0,1.635838427710276,,
Virlie's Grill,35.7210302,-79.1768646,625,4.6,1.0,3.994657350370768,,
KFC,35.7458641,-79.1666785,89,3.4,1.0,1.3864936903455178,,
Copeland Springs Farm & Kitchen,35.7105591,-79.1563171,28,4.9,,5.388725636663876,,
Al's Diner,35.7203773,-79.18721959999999,489,4.4,1.0,4.232775962037723,,
The City Tap,35.721547,-79.1773973,273,4.5,1.0,3.940892469673408,,
Marco's Pizza,35.755171,-79.165048,27,3.6,1.0,0.8201239838173192,0.8,10.0
Simmons Hospitality School,35.71850269999999,-79.1774111,0,0.0,,4.278489624570516,,
Hardee's,35.7198601,-79.1755429,302,3.7,1.0,4.118440626173341,,
The Modern Life Deli and Drinks,35.7196085,-79.17815619999999,295,4.5,2.0,4.1615606942682675,,
The Fearrington House Restaurant,35.8010823,-79.0924763,89,4.6,4.0,8.837737197811391,,
Roost Beer Garden,35.8004612,-79.09144979999999,65,4.3,2.0,8.87696902016474,,
Town Hall Burger and Beer,35.8215991,-79.0866733,358,4.5,2.0,10.662415797136527,,
Breakaway Cafe,35.821283,-79.086658,295,4.4,2.0,10.63975407800492,,
Guanajuato Mexican Restaurant,35.8474539,-79.08877269999999,392,4.3,1.0,12.6638085119405,,
Pig In the Pen,35.816168,-79.161031,4,4.8,,6.69449007785261,,
Moon Asian Bistro,35.8362147,-79.0911927,228,4.2,2.0,11.552653124311423,,
Subway,35.7189167,-79.1668401,30,4.1,1.0,4.268352246521673,,
China Inn Restaurant,35.7184865,-79.1667214,53,3.5,,4.317252683681589,,
Taco Bell,35.8357497,-79.0905227,232,3.8,1.0,11.552468494300806,,
Village Pizza & Pasta,35.8444831,-79.08926819999999,93,4.2,,12.37517363203737,,
Tarantini Italian Restaurant,35.8539969,-79.0249367,209,4.5,2.0,17.235708031350768,,
Spotted Dog Restaurant & Bar,35.910562,-79.071006,431,4.3,2.0,19.444022753257325,,
The Belted Goat,35.801071,-79.091276,179,4.3,2.0,8.927232523454624,,
Oakleaf,35.91027090000001,-79.0691725,238,4.7,3.0,19.495086753298025,,
Fiesta Grill Restaurant,35.9224565,-79.1857064,443,4.7,1.0,18.442759765682602,,
The Town Hall Grill,35.8817398,-79.06571749999999,273,4.3,2.0,16.96784435667644,,
McDonald's,35.8472712,-79.090068,418,3.8,1.0,12.577105597589698,,
Talullas,35.9106749,-79.0626494,260,4.6,,19.82525441913684,,
Rasa Malaysia,35.881983,-79.06595360000001,189,4.4,2.0,16.977759734046316,,
Blue Dot Coffee,35.7209746,-79.1774136,146,4.4,1.0,4.004454881502395,,
Lantern,35.910441,-79.06231799999999,313,4.5,3.0,19.81797602536652,,
Acme Food & Beverage Co,35.9103548,-79.0709573,503,4.4,3.0,19.425878824133726,,
Subway Restaurants,35.8474857,-79.0890654,26,3.9,1.0,12.650640373373395,,
Top of the Hill Restaurant & Brewery,35.9129465,-79.05535809999999,546,4.3,2.0,20.38028045271317,,
Chick-fil-A,35.9063523,-79.0516665,53,4.2,1.0,19.94181618237418,,
Subway Restaurants,35.860825,-79.08148,23,2.5,1.0,14.249593490070698,,
