names,latitudes,longitudes,total_user_ratings,ratings,price_levels,haversine_distance (km),distance_from_school (km),walking duration (mins)
Karaoke Mexican Restaurant,44.525837,-88.063312,349,4.6,2.0,1.0852509823877268,1.4,17.0
The Pancake Place,44.528462,-88.060192,1896,4.5,1.0,1.1085858043094825,1.8,22.0
Home Town Cafe,44.5222391,-88.05888499999999,416,4.3,1.0,0.5877701173996932,0.7,8.0
Golden Basket Restaurant,44.5149658,-88.07076119999999,849,4.4,1.0,1.6121264181844588,2.3,29.0
Chili John's Restaurant,44.5245243,-88.0624941,248,4.3,2.0,0.9541641647457446,1.2,14.0
Bay Motel & Family Restaurant,44.5153531,-88.0689998,791,4.5,,1.4665825571069844,2.0,25.0
Taco Town,44.5146964,-88.0375071,174,4.6,,1.3083390520794154,1.6,19.0
Culver's,44.5180464,-88.0490959,1163,4.4,1.0,0.34644466987599126,0.6,7.0
Papa Murphy's Take 'N' Bake Pizza,44.5221647,-88.0608555,132,4.6,1.0,0.7342079377676213,0.9,12.0
Subway Restaurants,44.5150833,-88.040173,45,4.0,1.0,1.104677233645518,1.4,16.0
Red Lobster,44.5064653,-88.073545,1296,4.3,2.0,2.312530524337436,3.1,39.0
Margarita's of Green Bay,44.506267,-88.07311399999999,1529,4.4,2.0,2.3023292270153353,3.1,39.0
Chefusion,44.5194631,-88.0199595,281,4.7,3.0,2.5363986489705463,3.3,41.0
Perkins Restaurant & Bakery,44.5300198,-88.0592676,883,3.6,2.0,1.2157156841461216,1.8,23.0
Arby's,44.5237569,-88.0652064,468,3.8,1.0,1.1164836527800093,1.2,15.0
Superior Discount Liquors,44.5291013,-88.0618916,190,4.5,,1.247365048744748,1.8,22.0
Sammy's Pizza & Italian Restaurant,44.493318,-88.061948,700,4.5,2.0,3.1169301689489024,3.8,47.0
Taverne in the Sky,44.5022452,-88.0651635,190,4.3,,2.277600540633809,2.4,31.0
Al's Hamburger,44.5132889,-88.0165533,828,4.5,1.0,2.9143698319733264,3.6,45.0
Green Bay Distillery,44.4960856,-88.05761009999999,884,4.2,2.0,2.7434202854910366,3.6,45.0
The Cannery Public Market,44.5197162,-88.01943519999999,774,4.3,2.0,2.5769141416607524,3.4,42.0
