names,latitudes,longitudes,total_user_ratings,ratings,price_levels,haversine_distance (km),distance_from_school (km),walking duration (mins)
Lola's Chicken,34.1870726,-118.4571403,376,4.3,2.0,0.3014103232798652,0.7,9.0
Mr. Pizza,34.1869168,-118.4569465,122,4.8,1.0,0.305465930494066,0.7,9.0
Chin Garden Restaurant,34.1875247,-118.4479801,57,4.6,,0.68747286961798,1.0,12.0
Villaggio Deli & Restaurant,34.185121,-118.4484801,120,4.7,1.0,0.7661734701030983,1.2,15.0
El Criollo Cuban Restaurant,34.1913545,-118.4483682,109,4.5,1.0,0.6679587484289569,0.8,10.0
Nazca Peruvian Restaurants,34.1870692,-118.446178,196,4.5,2.0,0.860779097680554,1.2,15.0
Los Tres Hermanos Restaurant Bar and Grill,34.1843154,-118.4490968,524,4.3,2.0,0.7813251518506329,1.3,16.0
Fresh Grill Mediterranean,34.2019876,-118.4679057,193,4.5,,1.8397347556898356,2.5,33.0
Farm Table Co.,34.182982,-118.449009,401,4.3,2.0,0.8965045065640239,1.4,17.0
Original Tommy's,34.18687630000001,-118.4510832,457,4.3,1.0,0.4577666136298681,0.8,10.0
Yoshinoya Van Nuys,34.1902297,-118.4483992,239,4.1,1.0,0.6318882383586549,0.7,8.0
Machu-Picchu Peruvian Restaurant,34.188128,-118.4489667,259,4.3,2.0,0.5830444811629291,0.9,11.0
Socorro's Restaurant,34.1870094,-118.4527905,276,4.1,1.0,0.3298667251283017,0.6,8.0
Sizzler,34.2002848,-118.4491092,729,4.2,2.0,1.349040192609227,1.7,21.0
Elote lady,34.1907393,-118.4531317,21,4.1,,0.2508326230360128,0.2,2.0
Takatis Peruvian Restaurant,34.1882074,-118.4485328,250,4.2,,0.6204279176196482,0.9,11.0
Puro Sabor Peruvian Restaurant,34.1862174,-118.4485365,207,4.4,2.0,0.6957101771800742,1.1,14.0
Mariscos El Amateco,34.1936725,-118.4501136,19,5.0,,0.6776826341157733,0.8,10.0
The Habit Burger Grill,34.2020693,-118.4490753,1202,4.5,1.0,1.5331037614170002,1.8,23.0
Happy Dogs,34.1834492,-118.4489698,104,4.3,2.0,0.8592324261514435,1.4,16.0
Jaliz Cuisine of East Africa,34.1909243,-118.4546988,95,4.8,1.0,0.1927286967277934,0.3,3.0
Cemitas Don Adrian,34.1862714,-118.4577964,357,4.5,,0.4089071414885653,0.8,10.0
Bill's Burgers,34.1792753,-118.4545378,497,4.6,1.0,1.108861373047914,1.8,22.0
Marisco Las Islitas,34.1941274,-118.4572427,403,4.0,2.0,0.5767577093783051,0.7,9.0
Sam Woo BBQ,34.1877591,-118.4654446,478,4.4,2.0,0.9598259582277382,1.5,18.0
Golden Sky,34.1869645,-118.4475165,171,4.3,2.0,0.7472254765561943,1.1,14.0
Lechon De Manila,34.1942488,-118.4579429,56,4.5,,0.6134397731640903,0.7,9.0
Costa Grande,34.2002831,-118.4671191,409,4.5,1.0,1.6488387754730978,2.3,28.0
Divas Tacos,34.1938789,-118.4476798,184,3.9,1.0,0.8605028532288224,1.0,13.0
Subway,34.1833054,-118.4489748,90,4.0,1.0,0.8709671882357256,1.4,17.0
Picka Rico,34.1864463,-118.4447059,148,4.5,1.0,1.0105597483579107,1.4,18.0
Best Tacos de barbacoa,34.1908267,-118.4531782,0,0.0,,0.25433201799097344,0.2,3.0
Mom's Bar Be Cue House,34.193621,-118.4395235,342,4.5,2.0,1.5189194065879603,1.8,23.0
Wendy's,34.1826714,-118.4665351,916,4.1,1.0,1.2754331864243367,2.0,25.0
Jack in the Box,34.195288,-118.449094,423,4.1,1.0,0.8744869371336684,1.1,13.0
Oriental Kid,34.1844378,-118.4666585,47,4.2,1.0,1.1842706354049597,1.8,22.0
Phở 999,34.1873683,-118.4668686,870,4.4,1.0,1.0964972062439569,1.6,20.0
Kebab Halebi,34.2016007,-118.4671197,309,4.6,2.0,1.7607502532962518,2.4,31.0
My Fish Stop,34.1723548,-118.456816,72,4.4,,1.8830452134674958,2.3,29.0
Aplus Fast Food Planet,34.1870649,-118.4527057,5,4.8,,0.33054769529832395,0.6,8.0
We Want Tacos Cafe,34.1864891,-118.449217,20,3.9,,0.6263169783384167,1.0,12.0
Fatburger,34.1825032,-118.4658892,617,4.3,2.0,1.23839155960511,2.0,25.0
Subway,34.187446,-118.466683,130,4.0,1.0,1.0781116533367074,1.6,20.0
Ayce Gogi,34.2000404,-118.4477215,991,4.5,2.0,1.3828506456900873,1.7,22.0
NORMS Restaurant,34.2009224,-118.430411,4418,4.2,1.0,2.6213765979946,3.4,43.0
Pizza Man,34.2051889,-118.4482685,91,4.4,,1.8840041888979537,2.2,28.0
Wingstop,34.1931504,-118.465966,464,3.9,2.0,1.0848726827492323,1.4,18.0
Bamboo Forest Chinese Restaurant,34.1718555,-118.4565311,93,4.3,1.0,1.9365090880265718,2.5,31.0
