names,latitudes,longitudes,total_user_ratings,ratings,price_levels,haversine_distance (km),distance_from_school (km),walking duration (mins)
Scardino's Italian Restaurant,33.838081,-118.364483,408,4.5,2.0,1.0476354300220079,1.1,14.0
Aliotta's Via Firenze,33.8384087,-118.3613579,182,4.6,2.0,1.1602577731438277,1.4,18.0
Bonello's New York Pizza,33.8492801,-118.3617423,220,4.7,1.0,0.7159938942533493,0.7,9.0
Kirari West Bake Shop,33.8530298,-118.3900551,232,4.8,2.0,2.075805638741692,2.6,33.0
Elephant Bar Restaurant,33.8366477,-118.356591,563,4.1,2.0,1.5981275584849148,2.2,27.0
Benihana,33.834595,-118.355841,1479,4.3,3.0,1.8115699037626058,2.4,29.0
La Zeez Pita Grill,33.837805,-118.365758,251,4.4,2.0,1.0372983394916342,1.1,14.0
The Habit Burger Grill,33.837859,-118.354791,792,4.5,1.0,1.6352492970187547,2.1,25.0
Steve's Charburger,33.84931640000001,-118.3625201,373,4.2,1.0,0.6522154718924235,0.7,9.0
The Standing Room Restaurant,33.8434086,-118.3888816,325,4.6,2.0,1.884549119537666,2.3,29.0
Tom's Tacos,33.8389727,-118.3631207,195,4.4,1.0,1.016795591595234,1.3,16.0
NORMS Restaurant,33.8610755,-118.3529064,3319,4.3,1.0,2.169683071404633,2.7,34.0
Taishi Hainan Chicken,33.838556,-118.375727,192,4.6,1.0,1.1105326036722605,1.5,19.0
Wendy's,33.8371327,-118.3706313,562,4.1,1.0,1.083318029224568,1.1,14.0
Dominique's Kitchen,33.8333842,-118.3848488,263,4.7,2.0,2.0950636546212484,2.7,34.0
Lazy Dog Restaurant & Bar,33.8334999,-118.3472247,1285,4.4,2.0,2.4851876390944363,3.3,42.0
Captain Kidd's Fish Market & Restaurant,33.843395,-118.3923491,1484,4.5,2.0,2.1996081474302542,2.7,33.0
Din Tai Fung,33.8333502,-118.3507414,1125,4.6,2.0,2.2431747001479687,2.8,35.0
Brazilian Plate House,33.8377784,-118.361725,218,4.5,,1.1980891835715735,1.4,18.0
Barans 2239,33.8588234,-118.3909032,163,4.7,3.0,2.4358876543753603,3.1,40.0
Miyoda Restaurant,33.8541228,-118.3797641,126,4.6,2.0,1.2959325057759052,2.1,26.0
Thai Rama Restaurant,33.838039,-118.361324,191,4.3,1.0,1.195263180050745,1.4,18.0
Sushi Chitose,33.8360921,-118.3849239,118,4.7,2.0,1.8985022565355316,2.5,31.0
In-N-Out Burger,33.8488601,-118.3531699,3300,4.6,1.0,1.4693909433139598,1.6,21.0
Luna Grill,33.832798,-118.350779,192,4.4,2.0,2.2819275003094357,2.9,36.0
Sea Level Restaurant and Lounge,33.8472645,-118.3950019,306,4.6,,2.413009759978892,3.1,38.0
Seafood Port Chinese Restaurant,33.8383995,-118.3531366,813,4.2,1.0,1.7261413447799443,2.2,27.0
Ojiya Torrance Izakaya Restaurant,33.8393391,-118.3529579,102,4.5,1.0,1.6865126916837374,2.1,26.0
Lemonade,33.8328129,-118.350583,231,4.3,2.0,2.2941016503947926,2.9,36.0
Brio Coastal Bar and Kitchen,33.8335115,-118.351225,619,4.4,2.0,2.197950059700699,2.8,35.0
Pancho's Taco,33.858553,-118.370339,140,4.1,1.0,1.3175631164358124,1.5,19.0
The Flame Broiler,33.8500951,-118.3528837,187,4.2,1.0,1.522918519719019,1.7,21.0
Souplantation,33.835714,-118.356379,1112,4.2,1.0,1.686195810406532,2.2,28.0
Spires Restaurant,33.8385265,-118.3540456,441,4.3,1.0,1.648152118387547,2.1,25.0
Lupita's Mexican Restaurant,33.8388883,-118.3851794,185,4.0,2.0,1.7416475481685274,2.2,28.0
Wahoo's Fish Taco,33.8371573,-118.3491443,355,4.5,1.0,2.1127804845101164,2.7,33.0
Dickeys Barbecue Pit,33.8467203,-118.3888312,180,4.1,2.0,1.8425180696501404,2.5,31.0
Cozy Cafe,33.8379175,-118.3855668,138,4.8,1.0,1.8284227376288158,2.3,29.0
Chick-fil-A,33.8297587,-118.3529876,1688,4.6,1.0,2.3939234757154786,3.1,39.0
Red Lobster,33.836236,-118.3564583,1085,4.2,2.0,1.6392363961017289,2.2,27.0
Hoka Hoka Sushi,33.8387191,-118.3784066,255,4.6,2.0,1.2548810441099323,1.6,21.0
"Kincaid's Fish, Chop & Steakhouse",33.8407115,-118.3919672,840,4.4,3.0,2.2359583104871112,3.0,38.0
Inaba Japanese Restaurant,33.8397944,-118.3530913,115,4.4,2.0,1.6514164292103333,2.0,25.0
The Cheesecake Factory,33.8468486,-118.395087,3248,4.4,2.0,2.4202553630753063,3.1,39.0
Tender Greens,33.8359417,-118.3537688,457,4.3,2.0,1.842941061353663,2.4,30.0
Poke Bar,33.8367117,-118.3549291,151,4.5,,1.7058754607387865,2.2,27.0
Malibu Eatery,33.8532829,-118.3899847,182,4.5,1.0,2.079319643033301,2.6,33.0
The Spot Natural Food Restaurant,33.854807,-118.39777,265,4.5,2.0,2.813732722340209,3.5,44.0
Quality Seafood,33.8408379,-118.3907074,1478,4.5,2.0,2.1208866936987856,2.6,34.0
Bluewater Grill,33.848582,-118.3962844,1211,4.4,2.0,2.538836290523025,3.3,41.0
Thai Dishes Restaurant,33.8303068,-118.3855363,121,4.5,1.0,2.390848035098106,3.0,38.0
Moo's Restaurant,33.838063,-118.3648823,97,4.0,2.0,1.0357696583034213,1.1,14.0
Islands Restaurant,33.8691328,-118.3529465,1061,4.4,2.0,2.8896750587452966,3.7,47.0
Chili's Grill & Bar,33.8291552,-118.3526381,1154,4.2,2.0,2.4667804648638856,3.2,40.0
Brogino's,33.8729906,-118.3665828,189,4.4,2.0,2.923751070958646,3.4,43.0
Rosa's Restaurant,33.8573727,-118.3907228,191,4.5,1.0,2.336581096708656,3.0,38.0
Smashburger,33.8481122,-118.3893621,202,4.2,2.0,1.8974385854502498,2.6,33.0
Lucille's Smokehouse Bar-B-Que,33.8328102,-118.3512162,1408,4.4,2.0,2.2515774771933037,2.9,36.0
R/10 Social House,33.842631,-118.39205,485,4.3,2.0,2.188662514904122,2.6,33.0
Ragin Cajun Cafe,33.8334875,-118.3853333,869,4.3,2.0,2.1187806057847083,2.7,34.0
