distance_from_school (km),haversine_distance (km),latitudes,longitudes,names,price_levels,ratings,total_user_ratings,walking duration (hour),walking duration (mins)
1.7,1.2694993514274566,34.135017100000006,-118.0489758,The Cheesecake Factory,2.0,4.3,1261,,22.0
2.4,1.7211516832350755,34.1397016,-118.0223223,BJ's Restaurant & Brewhouse,2.0,4.3,1054,,30.0
0.8,0.6488176863478061,34.129870200000006,-118.0296544,May's Cafe,1.0,4.4,48,,10.0
2.0,1.5007688519458509,34.1402563,-118.0263825,Matt Denny's Ale House Restaurant,2.0,4.3,413,,26.0
2.3,1.3120378548548028,34.1415226,-118.03839920000001,The Original Peppers Mexican Grill & Cantina,2.0,4.3,375,,29.0
2.3,1.7180302936447545,34.140353000000005,-118.02306100000001,Souplantation,1.0,4.3,1429,,30.0
1.2,0.9733077202448996,34.1348276,-118.0280407,Bento-ya Restaurant,1.0,4.2,144,,16.0
2.4,1.754959739483456,34.139708,-118.021854,Olive Garden Italian Restaurant,2.0,4.2,1676,,31.0
1.0,0.8845025340005225,34.129969,-118.02709540000001,Taco Lita,1.0,4.5,605,,12.0
0.6,0.4777585154494149,34.1301612,-118.0315301,El Pollo Loco,1.0,4.2,264,,7.0
2.2,1.7969870508488652,34.145321,-118.03123500000001,In-N-Out Burger,1.0,4.6,2381,,28.0
1.6,1.2952064257593578,34.140221200000006,-118.03039960000001,Chengdu Impression,2.0,4.6,109,,21.0
1.9,1.521824583203912,34.1347554,-118.0521186,EMC Seafood & Raw Bar,,4.3,148,,24.0
1.9,1.5178856591081251,34.1428777,-118.03194690000001,Villa Catrina,2.0,4.4,498,,24.0
2.2,1.5203151960330221,34.1351084,-118.05192859999998,Din Tai Fung,2.0,4.5,1413,,28.0
1.7,1.313022056691845,34.1349665,-118.0495348,Benihana,3.0,4.2,601,,22.0
1.6,1.4989736303924008,34.1331534,-118.052479,Red Robin Gourmet Burgers and Brews,2.0,4.2,535,,21.0
2.7,1.9734422341734448,34.139736,-118.01893100000001,Red Lobster,2.0,4.2,1170,,34.0
2.0,1.669273583385486,34.1274176,-118.05460719999999,Jazz Cat Restaurant,2.0,4.4,219,,25.0
